"","reviewid","label","genre","title","artist","score","best_new_music","pub_month","pub_year","genre_occurrences","label_count"
"73",21413,"third man","","why the mountains are black: primeval greek village music","various artists",7.4,0,2,2016,NA,27
"74",21499,"cherry red","","still in a dream: a story of shoegaze 1988-1995","various artists",8,0,2,2016,NA,16
"75",21396,"jazzy couscous","","brawther & alixkun present once upon a time in japan","various artists",8,0,1,2016,NA,1
"76",21396,"les disques mystiques","","brawther & alixkun present once upon a time in japan","various artists",8,0,1,2016,NA,1
"77",21381,"gqom oh!","","the sound of durban vol. 1","various artists",8.1,0,1,2016,NA,2
"78",21394,"mass appeal","","rubble kings: the album","various artists",7.4,0,1,2016,NA,9
"79",21447,"twelves","","the provider","coldair",7,0,1,2016,NA,1
"80",21416,"interscope","","dreamville ii: revenge of the dreamers","various artists",6.2,0,1,2016,NA,174
"81",21416,"dreamville","","dreamville ii: revenge of the dreamers","various artists",6.2,0,1,2016,NA,4
"82",21352,"milan","","the revenant ost","various artists",7.3,0,1,2016,NA,16
"83",21296,"honest jon's","","christians catch hell: gospel roots 1976-79","various artists",7.3,0,12,2015,NA,22
"84",21305,"rca","","chi-raq ost","various artists",5,0,12,2015,NA,107
"85",21280,"editions syliphone conakry","","musique sans paroles","various artists",7.7,0,12,2015,NA,1
"86",20996,"following is leading","","civil circus","diggs duke",7.4,0,12,2015,NA,1
"87",20588,"three lobed","","parallelogram","various artists",8.4,0,11,2015,NA,27
"88",21203,"numero group","","ork records: new york, new york","various artists",8.8,1,11,2015,NA,62
"89",21100,"optimo music","","[cease & desist] diy! (cult classics from the post-punk era 1978 - 82)","various artists",8.4,0,11,2015,NA,2
"90",21122,"atlantic","","hamilton: original broadway cast recording","various artists",6.9,0,10,2015,NA,153
"91",21030,"palto flats","","utakata no hibi","mariah",8.5,1,9,2015,NA,1
"92",21009,"graveface","","everything dies","des ark",7.5,0,9,2015,NA,17
"93",20960,"dogfood","","mykki blanco presents c-ore","various artists",7,0,9,2015,NA,2
"94",20960,"!k7","","mykki blanco presents c-ore","various artists",7,0,9,2015,NA,85
"95",20938,"jsp","","garden city blues: detroits jumping scene 1948-1960","various artists",7.6,0,9,2015,NA,1
"96",20899,"loma vista","","meliora","ghost",6.2,0,8,2015,NA,12
"97",20777,"soul jazz","","rastafari: the dreads enter babylon, 1955-83","various artists",7.5,0,7,2015,NA,42
"98",20753,"rca","","nina revisited a tribute to nina simone","various artists",7,0,7,2015,NA,107
